Company,Username,Total reviews,Location,Date,Content,Rating
earthhero.com,torricel angelo,364 reviews,US,"Apr 2, 2024","disappointing experince one if you call the company on this number 844 852 8935 for an inquire no one picks only music plays and the lines discconnectstwo if you have pay for  priority delivery 10.35 for one to 3 business days your choice wont be honored it arrives 5 business days if that three if you ceo and founder you wont get a response back therefore please consider shopping experience will be in vain new york city nam myoho renge kyoDate of experience: April 02, 2024",1
earthhero.com,Brandon Roberts,5.4K reviews,US,"Mar 5, 2024","Been a long time EH customerBeen a long time customer with EarthHero and they always have all the sustainable products that I need at an affordable price. One thing i noticed is certain products on their store you can buy at a lower price on a subscription and that option is set to default, so there was one time that when i purchased i forgot to select ""one time"" instead of ""subscription"" and was shipped a an order I did not really need. They're customer service is great though, and they worked with me on cancelling those and even giving me a store credit for the inconvenience! Happy to have another option that is more sustainable than Amazon :) Date of experience: March 04, 2024",5
earthhero.com,Consumer,5K reviews,US,"Aug 8, 2023","Never received my orderNever received my order. I placed an order two weeks ago and still haven’t received a tracking number. I’ve left messages on all their social media platforms, emailed them, and left a voicemail. No response at all. I WANT MY MONEY BACK. This is a SCAM company who will take your money and not ship your items!Date of experience: August 07, 2023",1
earthhero.com,Connie Stahle,4 reviews,US,"Oct 28, 2020","Poor quality product and customer careNo cushion at all in sole, think of walking on a thin layer of suede and boiled wool. Not my idea of quality or comfort in a slipper. My fault was that i gave them a chance and wore them for about 20-30 minutes inside my home but got a small stain on the suede soles. Since they don't stand behind their quality they emphasize that they cannot accept returns unless they are unused and in same condition as arrived. I do understand trying to avoid someone sending back shoes wore for a year but i also understand good customer service and looking at a long term profit of satisfied customers vs a short term profit of get every buck you can despite the customer satisfaction.Buyer beware, you will not be valued.Date of experience: October 28, 2020",1
earthhero.com,Jen Taylor,1 review,US,"Oct 1, 2020","Worst customer service...Worst customer service I have ever encountered. My package was misdelievered by the USPS, My package was placed into a locked box at my mailbox but the key was not placed in my locked mailbox. I did not recieve my order and Earthhero refused to replace it. I will repurchase my products from other companies and never use Earthhero again.Date of experience: October 01, 2020",1
earthhero.com,Cathy Murphy,1 review,US,"Apr 13, 2023","UnresponsiveI revived someone else’s item. I have had no response on getting my item or a refund or how to return the unordered item. No one answers call or returns messages. Horrible customer serviceDate of experience: April 07, 2023",1
earthhero.com,Nancy B,2 reviews,US,"Feb 17, 2023","Beware: This company repeatedly sells Out of Stock itemsTwice this company sold me a duffel bag and, after taking my money they wrote the next day to say the color I wanted was out of stock. I did get the money refunded, but EarthHero obviously kept ALL of my credit card information on its site. Yesterday my daughter (for whom I bought the duffel) informed me that the color (Green). When I went to purchase the item, the site had ALL my credit card info., including the security code. I thought that was strange that I wasn't prompted to fill it in. Less than 24 hours after EarthHero charged my credit card, I got an email saying that the item was Out of Stock and trying to cajole me to settle for an entirely different color. I wonder if there were any green bags after all? I know that I will be refunded, but it irks me that they still have all my credit card information. I have asked them to scrub it. I would never buy anything from this company again.Date of experience: February 16, 2023",1
earthhero.com,BAF,1 review,US,"Jul 13, 2022","Not Actually SustainableThis company does not have sustainability at its core. Of course businesses need to make money, but when a company says it values sustainability above all else and helping consumers be more sustainable, they should not make concessions to make more money. There are many brands they have on their website that go against EarthHero’s sourcing principles, but they refuse to discontinue those products. I received expired product and the packaging was made from virgin plastic, even after I asked if it was recycled because I thought plastic was not something they carried anyway. It also seems very unusual that they had a diverse team a few months ago and now it is all white employees. Sustainable and ethical go beyond the products a company sells and I do not believe this company walks the walk. There are plenty of other companies that are doing it better so I would encourage others to check out package free or public goods as they are closer to the ideals that EarthHero claims to stand behind.Date of experience: July 13, 2022",1
earthhero.com,Zoe,2 reviews,GB,"Updated Nov 4, 2022","I got drawn in to purchase the eco…I got drawn in to purchase the eco laundry strips by a good deal for the first pack. I’m now not allowed to cancel and have been charged £9 for a pack of 32 laundry strips. I have to buy another at this price before I’m allowed to cancel. This was not made clear to me when I signed up for the subscription.Date of experience: November 04, 2022",1
earthhero.com,jj jj,2 reviews,GB,"Feb 4, 2023","Very Poor CompanyVery Poor Company, Cancelled the subscription and the company still charged me without any authorisation, I would advise to AVOID this company as they are clearly corrupt.Date of experience: February 04, 2023",1
